spec	compression	quality	latency_us	block_kv	block_h	num_warps
k8v4kb16vb16	2.29	0.9967	30	16	8	2
k2v4kb16vb16	4.00	0.9407	31	16	4	4
k8v4kb16vb64	2.42	0.9949	31	16	4	2
k4v4kb16vb16	3.20	0.9947	31	32	8	2
k4v2kb64vb16	4.41	0.9294	32	16	4	2
k2v4kb32vb32	4.57	0.9242	32	16	8	4
k2v4kb64vb16	4.41	0.9253	32	16	8	4
k4v4kb16vb32	3.37	0.9936	32	16	8	4
k8v4kb32vb32	2.46	0.9961	32	16	8	2
k4v4kb64vb16	3.46	0.9915	32	16	8	4
k8v2kb32vb32	2.91	0.9115	32	32	8	2
k2v4kb16vb32	4.27	0.9076	32	32	4	4
k8v8kb16vb16	1.78	1.0000	33	16	8	2
k2v4kb64vb64	4.92	0.9167	33	32	8	2
k8v8kb64vb64	1.94	1.0000	33	16	4	4
k8v8kb16vb32	1.83	1.0000	33	16	4	2
k4v8kb64vb16	2.42	0.9957	33	16	8	2
k2v8kb16vb16	2.67	0.9394	33	16	8	2
k8v4kb32vb16	2.37	0.9967	33	32	8	4
k2v8kb16vb32	2.78	0.9197	33	16	8	2
k2v8kb16vb64	2.84	0.9425	33	16	4	2
k8v8kb64vb16	1.86	1.0000	33	16	4	2
k4v2kb32vb16	4.27	0.9279	33	16	8	4
k8v2kb16vb32	2.78	0.9108	33	32	8	4
k2v8kb32vb32	2.91	0.9169	33	16	8	2
k4v8kb32vb64	2.51	0.9975	33	16	4	2
k4v8kb16vb16	2.29	0.9974	33	16	8	4
k4v4kb16vb64	3.46	0.9928	33	32	8	4
k8v8kb16vb64	1.86	1.0000	33	16	8	2
k8v4kb64vb64	2.56	0.9949	33	16	4	4
k8v8kb64vb32	1.91	1.0000	33	16	8	2
k2v8kb32vb64	2.98	0.9372	34	16	4	4
k8v4kb32vb64	2.51	0.9953	34	32	8	2
k2v8kb64vb32	2.98	0.9015	34	16	8	2
k2v4kb32vb64	4.74	0.9062	34	16	8	2
k8v2kb16vb16	2.67	0.9301	34	32	4	4
k4v8kb64vb64	2.56	0.9948	34	32	4	4
k8v2kb64vb16	2.84	0.9291	34	16	8	4
k2v4kb32vb16	4.27	0.9352	34	32	8	4
k2v4kb16vb64	4.41	0.9401	34	16	8	2
k8v8kb32vb32	1.88	1.0000	34	16	4	2
k8v4kb64vb16	2.42	0.9969	34	32	4	2
k4v2kb16vb16	4.00	0.9312	34	32	4	2
k4v8kb32vb32	2.46	0.9952	34	16	4	2
k4v2kb16vb32	4.27	0.9109	34	32	4	2
k8v8kb32vb16	1.83	1.0000	35	16	4	4
k8v8kb32vb64	1.91	1.0000	35	16	8	2
k8v4kb16vb32	2.37	0.9959	35	32	8	4
k4v4kb64vb32	3.66	0.9916	35	16	4	2
k4v8kb32vb16	2.37	0.9956	35	32	8	4
k8v4kb64vb32	2.51	0.9959	35	16	4	2
k2v8kb32vb16	2.78	0.9029	35	16	4	4
k4v2kb64vb32	4.74	0.9044	35	32	4	2
k4v4kb32vb32	3.56	0.9927	36	16	4	2
k4v8kb16vb32	2.37	0.9975	36	16	4	4
k4v8kb16vb64	2.42	0.9976	36	32	8	4
k8v2kb64vb32	2.98	0.9153	36	32	8	4
k4v8kb64vb32	2.51	0.9943	36	16	4	4
k2v8kb64vb64	3.05	0.9356	36	16	8	2
k4v4kb64vb64	3.76	0.9911	36	32	4	2
k4v4kb32vb64	3.66	0.9917	36	32	8	2
k4v4kb32vb16	3.37	0.9936	37	16	4	4
k8v2kb32vb16	2.78	0.9306	37	16	8	4
k4v2kb32vb32	4.57	0.9087	37	16	8	4
