kv_dtype	conc	ok	total_tokens	wall_s	aggregate_tok_s	peak_gen_tok_s
auto	1	1	128	1.1	120	2
auto	32	32	3896	1.5	2519	2
auto	128	128	16077	3.7	4342	2
auto	256	256	31933	6.0	5353	4494
auto	512	512	64016	11.7	5490	5605
auto	1024	1024	127642	22.1	5770	6050
fp8	1	1	128	1.1	121	0
fp8	32	32	3949	1.6	2544	0
fp8	128	128	15943	3.7	4346	0
fp8	256	256	32008	6.0	5360	992
fp8	512	512	63828	11.6	5518	5545
fp8	1024	1024	127284	21.8	5847	6089
k4v4b64	1	1	128	1.9	68	0
k4v4b64	32	32	3757	3.1	1215	160
k4v4b64	128	1	24	2.0	12	160
